country,project-name,unit-name,capacity-(mw),status,reactor-type,model,owner,operator,lat,lng,location-accuracy,state/province,region,url,areas-subnat-sat-display
France,St. Alban nuclear power plant,1,1381.0,operating,pressurized water reactor,P4 REP 1300,Electricité de France SA [100%],Electricité de France,45.4043,4.7554,exact,Auvergne-Rhône-Alpes,Europe,https://www.gem.wiki/St._Alban_nuclear_power_plant,"Auvergne-Rhône-Alpes, France"
France,St. Alban nuclear power plant,2,1381.0,operating,pressurized water reactor,P4 REP 1300,Electricité de France SA [100%],Electricité de France,45.4043,4.7554,exact,Auvergne-Rhône-Alpes,Europe,https://www.gem.wiki/St._Alban_nuclear_power_plant,"Auvergne-Rhône-Alpes, France"
United States,Stanislaus nuclear power plant,1,1200.0,cancelled,boiling water reactor,unknown,Pacific Gas & Electric CO [100%],,37.5371,-121.0826,approximate,California,Americas,https://www.gem.wiki/Stanislaus_nuclear_power_plant,"California, United States"
United States,Stanislaus nuclear power plant,2,1200.0,cancelled,boiling water reactor,unknown,Pacific Gas & Electric CO [100%],,37.5371,-121.0826,approximate,California,Americas,https://www.gem.wiki/Stanislaus_nuclear_power_plant,"California, United States"
Poland,Stawy Monowskie nuclear power plant,1,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.024621,19.3339713,approximate,Lesser Poland Voivodeship,Europe,https://www.gem.wiki/Stawy_Monowskie_nuclear_power_plant,"Lesser Poland Voivodeship, Poland"
Poland,Stawy Monowskie nuclear power plant,2,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.024621,19.3339713,approximate,Lesser Poland Voivodeship,Europe,https://www.gem.wiki/Stawy_Monowskie_nuclear_power_plant,"Lesser Poland Voivodeship, Poland"
Poland,Stawy Monowskie nuclear power plant,3,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.024621,19.3339713,approximate,Lesser Poland Voivodeship,Europe,https://www.gem.wiki/Stawy_Monowskie_nuclear_power_plant,"Lesser Poland Voivodeship, Poland"
Poland,Stawy Monowskie nuclear power plant,4,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.024621,19.3339713,approximate,Lesser Poland Voivodeship,Europe,https://www.gem.wiki/Stawy_Monowskie_nuclear_power_plant,"Lesser Poland Voivodeship, Poland"
Germany,Stendal nuclear power plant,1,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,52.7237,12.0176,exact,Saxony-Anhalt,Europe,https://www.gem.wiki/Stendal_nuclear_power_plant,"Saxony-Anhalt, Germany"
Germany,Stendal nuclear power plant,2,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,52.7237,12.0176,exact,Saxony-Anhalt,Europe,https://www.gem.wiki/Stendal_nuclear_power_plant,"Saxony-Anhalt, Germany"
Germany,Stendal nuclear power plant,3,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,52.7237,12.0176,exact,Saxony-Anhalt,Europe,https://www.gem.wiki/Stendal_nuclear_power_plant,"Saxony-Anhalt, Germany"
Germany,Stendal nuclear power plant,4,1000.0,cancelled,pressurized water reactor,VVER V-1000,,,52.7237,12.0176,exact,Saxony-Anhalt,Europe,https://www.gem.wiki/Stendal_nuclear_power_plant,"Saxony-Anhalt, Germany"
United States,Sterling nuclear power plant,1,1150.0,cancelled,pressurized water reactor,unknown,Rochester Gas & Electric CO [100%],,43.3619,-76.6649,exact,New York,Americas,https://www.gem.wiki/Sterling_nuclear_power_plant,"New York, United States"
