,Unnamed: 0,GEM Mine ID,name,url,status,capacity_prod,capacity_output,owners,est_emissions,lng,lat,tracker,goget_id,status_year,subnational,Climate TRACE Field Estimate Year,Climate TRACE Field Emissions Factor,areas,Fuel description,Reserves Classification (Converted),Quantity (Converted),Units (Converted),Upstream methane intensity (kg/boe),Reserves Data Year,Quantity (boe),reserves_emissions,GEM Methane Plume ID,Satellite Data Provider,Instrument,date,Provider ID,Satellite Data Provider Ref,plume_emissions,Emissions Uncertainity (kg/hr),Type of Infrastructure,Infrastructure Notes,infra_name,GEM Infrastructure Wiki,Government Well ID (Nearby),California VISTA and other Government ID Assets (Nearby),lat,infra_filter,status_legend,scaling_col
38,38,M0049,Hunter Valley North Coal Mine,https://www.gem.wiki/Hunter_Valley_North_coal_mine,operating,4.38,,Hunter Valley Operations,0.015,-32.4657844,150.9734981,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
39,39,M0050,Hunter Valley South Coal Mine,https://www.gem.wiki/Hunter_Valley_South_coal_mine,operating,7.55,,Hunter Valley Operations,0.027,-32.5245107,150.9819012,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
40,40,M0052,Ironbark No. 1 Coal Mine,https://www.gem.wiki/Ironbark_No._1_coal_mine,operating,0.18,,Fitzroy Australia Resources Pty Ltd,0.002,-21.97648262,148.2346531,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
41,41,M0053,Isaac Downs Coal Mine,https://www.gem.wiki/Isaac_Downs_coal_mine,operating,4.21,,Stanmore IP South Pty Ltd,0.015,-21.97936646,148.1290409,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
42,42,M0054,Isaac Plains East Coal Mine,https://www.gem.wiki/Integrated_Isaac_Plains_Project,mothballed,2.38,,Stanmore Resources Ltd,0.008,-21.9718375,148.1132931,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mothballed-plus,936.0249636999176
43,43,M0055,Jax Coal Mine,https://www.gem.wiki/Jax_coal_mine,operating,2.151,,Thiess,0.008,-20.713736,147.860166,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
44,44,M0056,Jellinbah Coal Mine,https://www.gem.wiki/Jellinbah_coal_mine,operating,4.963,,Golding Contractors,0.009,-23.406874,148.950644,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
45,45,M0058,Kestrel Coal Mine,https://www.gem.wiki/Kestrel_mine,operating,7.392,,Kestrel Coal Resources,0.078,-23.236333,148.3583273,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
46,46,M0059,Kogan Creek Coal Mine,https://www.gem.wiki/Kogan_Creek_mine,operating,2.589,,Golding Contractors,0.002,-26.9384276,150.7743816,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
47,47,M0060,Lake Vermont Coal Mine,https://www.gem.wiki/Lake_Vermont_Coal_Project,operating,11.156,,Jellinbah Group Pty Ltd,0.021,-22.4611726,148.4056045,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
48,48,M0063,Mandalong Coal Mine,https://www.gem.wiki/Mandalong_mine,operating,2.68,,Centennial Mandalong Pty Ltd,0.031,-33.119111,151.461844,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
49,49,M0064,Mangoola Coal Mine,https://www.gem.wiki/Mangoola_coal_mine,operating,7.69,,Mangoola Coal Operations Pty Ltd,0.006,-32.294922,150.706712,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
50,50,M0065,Maules Creek Coal Mine,https://www.gem.wiki/Maules_Creek_coal_mine,operating,9.372,,Maules Creek Joint Venture,0.103,-30.562606,150.11498,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
51,51,M0067,Meandu Coal Mine,https://www.gem.wiki/Meandu_coal_mine,operating,6.841,,BUMA Australia,0.006,-26.813543,151.911523,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
