country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Philippines,Tongonan geothermal power plant,3,,38.0,operating,1983,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],11.1612,124.6371,exact,,Leyte,Asia,G100000700298,L100000700179,https://www.gem.wiki/Tongonan_geothermal_power_plant,unknown type
New Zealand,TOPP1 geothermal power plant,--,,24.0,operating,2013,,,Eastland Generation,-38.0608344,176.7218307,exact,,,Oceania,G100001005327,L100001004540,https://www.gem.wiki/TOPP1_geothermal_power_plant,binary cycle
New Zealand,TOPP2 geothermal power plant,--,,49.0,pre-construction,2027,,,Eastland Generation,-38.0830208,176.7278182,exact,,,Oceania,G100001005328,L100001004541,https://www.gem.wiki/TOPP2_geothermal_power_plant,binary cycle
Türkiye,Tosunlar 1 geothermal power plant,--,Tosunlar-1 Jeotermal Enerji Santrali,3.8,operating,2015,,,,37.95103,28.92138,exact,,,Asia,G100001050568,L100001044989,https://www.gem.wiki/Tosunlar_1_geothermal_power_plant,binary cycle
Türkiye,Transmark geothermal power plant 2,--,,15.8,pre-construction,,,,Transmark Renewables,39.6006353,26.4008684,approximate,,,Asia,G100001031234,L100001026022,https://www.gem.wiki/Transmark_geothermal_power_plant_2,binary cycle
Türkiye,Transmark Gulpinar geothermal power plant,--,Trasmark Jeotermal Elektrik Santrali,3.2,operating,,,,Transmark Renewables,39.54511794,26.16496837,exact,,,Asia,G100001050536,L100001044961,https://www.gem.wiki/Transmark,flash steam - single
Italy,Travale geothermal power plant,3,Centrale geotermica Travale,20.0,operating,2003,,,,43.1708,11.039,exact,,Tuscany,Europe,G100001048330,L100000700180,https://www.gem.wiki/Travale_geothermal_power_plant,dry steam
Italy,Travale geothermal power plant,4,Centrale geotermica Travale,40.0,operating,2002,,Enel Green Power,Enel Green Power [100%],43.1708,11.039,exact,,Tuscany,Europe,G100000700299,L100000700180,https://www.gem.wiki/Travale_geothermal_power_plant,dry steam
Mexico,Tres Virgenes geothermal power plant,1,Central Geotermoelectrica Tres Vírgenes,5.0,operating,2001,,Comision Federal De Electricidad,Comision Federal De Electricidad,27.50709126,-112.557408,exact,,,Americas,G100001048499,L100001043020,https://www.gem.wiki/Tres_Virgenes_geothermal_power_plant,flash steam - single
Mexico,Tres Virgenes geothermal power plant,2,Central Geotermoelectrica Tres Vírgenes,5.0,operating,2001,,Comision Federal De Electricidad,Comision Federal De Electricidad,27.50709126,-112.557408,exact,,,Americas,G100001048500,L100001043020,https://www.gem.wiki/Tres_Virgenes_geothermal_power_plant,flash steam - single
Canada,Tu Deh-Kah geothermal power plant,1,,7.0,construction,2027,,Deh Tai,Deh Tai LP [100%],58.7701,-122.6599,approximate,,,Americas,G100000700325,L100000700194,https://www.gem.wiki/Tu_Deh-Kah_geothermal_power_plant,binary cycle
Canada,Tu Deh-Kah geothermal power plant,expansion,,8.0,announced,2027,,Deh Tai,Deh Tai LP [100%],58.7701,-122.6599,approximate,,,Americas,G100001030291,L100000700194,https://www.gem.wiki/Tu_Deh-Kah_geothermal_power_plant,binary cycle
Indonesia,Tulehu geothermal power plant,--,,20.0,announced,,,,PT PLN (Persero) [100%],-3.6238,128.1486,approximate,,Maluku,Asia,G100000700374,L100000700214,https://www.gem.wiki/Tulehu_geothermal_power_plant,unknown type
