country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
China,https://www.gem.wiki/Xinlei_Gangue_power_station,Xinlei Gangue power station,Unit 2,太钢鑫磊煤电公司发电厂,Jinneng Xinlei Coal Power [100%],Shanxi Xinlei Energy Group Co Ltd [49.0%]; Shanxi State-Owned Capital Investment and Operation Co Ltd [29.4%]; Jinneng Group Co Ltd [11.0%]; other [7.3%]; Jinneng Holding Group Co Ltd [3.3%],350,permitted,,Shanxi,38.180204,113.016611,Asia
China,https://www.gem.wiki/Xinminyuan_Low_Heat_Value_power_station,Xinminyuan Low Heat Value power station,Unit 1,神华国能陕西彬长新民塬发电项目,Shaanxi Binchang Power Generation Co Ltd of National Energy Group [100%],China Energy Investment Corp [51.0%]; Shaanxi Coal Industry Co Ltd [49.0%],660,construction,2024,Shaanxi,35.1072191,108.1165065,Asia
China,https://www.gem.wiki/Xinminyuan_Low_Heat_Value_power_station,Xinminyuan Low Heat Value power station,Unit 2,神华国能陕西彬长新民塬发电项目,Shaanxi Binchang Power Generation Co Ltd of National Energy Group [100%],China Energy Investment Corp [51.0%]; Shaanxi Coal Industry Co Ltd [49.0%],660,pre-permit,,Shaanxi,35.1072191,108.1165065,Asia
China,https://www.gem.wiki/Xinminyuan_power_station,Xinminyuan power station,Unit 1,陕西彬长新民塬发电项目,Electric Power Branch of Shaanxi Binchang Mining Group [100%],Shaanxi Coal Industry Co Ltd [100.0%],1000,cancelled,,Shaanxi,35.1105,108.1282,Asia
China,https://www.gem.wiki/Xinminyuan_power_station,Xinminyuan power station,Unit 2,陕西彬长新民塬发电项目,Electric Power Branch of Shaanxi Binchang Mining Group [100%],Shaanxi Coal Industry Co Ltd [100.0%],1000,cancelled,,Shaanxi,35.1105,108.1282,Asia
China,https://www.gem.wiki/Xinminyuan_power_station,Xinminyuan power station,Unit 3,陕西彬长新民塬发电项目,Shaanxi Binchang Power Generation Co Ltd of National Energy Group [100%],China Energy Investment Corp [51.0%]; Shaanxi Coal Industry Co Ltd [49.0%],1000,cancelled,,Shaanxi,35.1105,108.1282,Asia
China,https://www.gem.wiki/Xinminyuan_power_station,Xinminyuan power station,Unit 4,陕西彬长新民塬发电项目,Shaanxi Binchang Power Generation Co Ltd of National Energy Group [100%],China Energy Investment Corp [51.0%]; Shaanxi Coal Industry Co Ltd [49.0%],1000,cancelled,,Shaanxi,35.1105,108.1282,Asia
China,https://www.gem.wiki/Xintai_power_station,Xintai power station,Unit 1,山东能源新泰燃煤发电厂,Shandong Energy Power Group Xintai Power Generation [100%],Shandong Energy Power Group Xintai Power Generation [100.0%],600,construction,2025,Shandong,35.820423,117.758761,Asia
China,https://www.gem.wiki/Xintai_power_station,Xintai power station,Unit 2,山东能源新泰燃煤发电厂,Shandong Energy Power Group Xintai Power Generation [100%],Shandong Energy Power Group Xintai Power Generation [100.0%],600,construction,2025,Shandong,35.820423,117.758761,Asia
China,https://www.gem.wiki/Xinwen_Peak_cogen_power_station,Xinwen Peak cogen power station,Unit 1,泰安新汶顶峰热电,Taian Xinwen Peak Heat and Power [100%],Labor Union Committee of Xinwen Mining Group Materials Supply and Marketing Co Ltd [57.0%]; Xinwen Mining Group Co Ltd Zhai Town Coal Mine Trade Union Committee [16.4%]; Shandong Energy Group Co Ltd [14.6%]; Xinwen Mining Group Co Ltd Sun Village Coal Mine Trade Union Committee [5.7%]; Shandong Guohui Investment Co Ltd [4.2%]; Shandong Caixin Asset Operation Co Ltd [2.1%],30,operating,2002,Shandong,35.8676244,117.7032642,Asia
China,https://www.gem.wiki/Xinwen_Peak_cogen_power_station,Xinwen Peak cogen power station,Unit 2,泰安新汶顶峰热电,Taian Xinwen Peak Heat and Power [100%],Labor Union Committee of Xinwen Mining Group Materials Supply and Marketing Co Ltd [57.0%]; Xinwen Mining Group Co Ltd Zhai Town Coal Mine Trade Union Committee [16.4%]; Shandong Energy Group Co Ltd [14.6%]; Xinwen Mining Group Co Ltd Sun Village Coal Mine Trade Union Committee [5.7%]; Shandong Guohui Investment Co Ltd [4.2%]; Shandong Caixin Asset Operation Co Ltd [2.1%],30,operating,2002,Shandong,35.8676244,117.7032642,Asia
China,https://www.gem.wiki/Xinwen_Peak_cogen_power_station,Xinwen Peak cogen power station,Unit 3,泰安新汶顶峰热电,Taian Xinwen Peak Heat and Power [100%],Labor Union Committee of Xinwen Mining Group Materials Supply and Marketing Co Ltd [57.0%]; Xinwen Mining Group Co Ltd Zhai Town Coal Mine Trade Union Committee [16.4%]; Shandong Energy Group Co Ltd [14.6%]; Xinwen Mining Group Co Ltd Sun Village Coal Mine Trade Union Committee [5.7%]; Shandong Guohui Investment Co Ltd [4.2%]; Shandong Caixin Asset Operation Co Ltd [2.1%],30,retired,2009,Shandong,35.8676244,117.7032642,Asia
