country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
Guatemala,Palo Gordo power station,"bioenergy: agricultural waste (solids), coal: unknown",2,Planta cogeneradora Palo Gordo,46.0,operating,2015,,,Ingenio Palo Gordo,Ingenio Palo Gordo SA [100%],14.488,-91.3986,exact,,Suchitepéquez,Americas,G100000104857,https://www.gem.wiki/Palo_Gordo_power_station
India,Panchganga power station,bioenergy: agricultural waste (solids),1,,30.0,operating,2009,,,Shree Renuka Sugars,,16.7668,74.1356,exact,,Maharashtra,Asia,G100000200207,https://www.gem.wiki/Panchganga_power_station
Thailand,Panom Sarakham Mill power station,bioenergy: agricultural waste (solids),1,,47.0,operating,1999,,,,Thai Power Supply Co Ltd [100%],13.7581,101.3337,approximate,,Chachoengsao Province,Asia,G100000200827,https://www.gem.wiki/Panom_Sarakham_Mill_power_station
Guatemala,Pantaleón power station,"bioenergy: agricultural waste (solids), fossil liquids: fuel oil",1,Planta cogeneradora Pantaleón,60.0,operating,1997,,,Ingenio Pantaleón,Grupo Pantaleón [100%],14.3328,-90.9943,exact,,Escuintla,Americas,G100000201562,https://www.gem.wiki/Pantale%C3%B3n_power_station
Guatemala,Pantaleón power station,"bioenergy: agricultural waste (solids), coal: unknown, fossil liquids: fuel oil",2,Planta cogeneradora Pantaleón,61.0,operating,2015,,,Ingenio Pantaleón,Grupo Pantaleón [100%],14.3328,-90.9943,exact,,Escuintla,Americas,G100000114951,https://www.gem.wiki/Pantale%C3%B3n_power_station
Paraguay,Paracel power station,bioenergy: paper mill wastes,1,Planta de biomasa Paracel,220.0,pre-construction,2027,,,Paracel,Paracel SA [100%],-23.26,-57.4975,approximate,Laguna Plato,Concepción,Americas,G100000200465,https://www.gem.wiki/Paracel_power_station
Brazil,Paraguaçu Paulista power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Paraguaçu Paulista,30.0,pre-construction,2026,,,Raízen Paraguaçu,Raízen Paraguaçu Ltda [100%],-22.4646,-50.4934,exact,Paraguaçu Paulista,São Paulo,Americas,G100000200461,https://www.gem.wiki/Paraguaçu_Paulista_power_station
Brazil,Paranapanema power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Paranapanema,60.0,operating,2012,,,UMOE Bioenergy,UMOE Bioenergy SA [100%],-22.5463,-51.8189,exact,Sandovalina,São Paulo,Americas,G100000200628,https://www.gem.wiki/Paranapanema_power_station
India,Parbhani Gangakhed power station,bioenergy: agricultural waste (solids),1,,50.0,operating,2011,,,,Gangakhed Sugar and Energy LTD (GSEL) [100%],18.9048,76.7275,exact,,Maharashtra,Asia,G100000200728,https://www.gem.wiki/Parbhani_Gangakhed_power_station
United States,Pasco County Solid Waste Resource Recovery power station,bioenergy: refuse (municipal and industrial wastes),GEN1,,31.0,operating,1991,,,Pasco County (Florida),Pasco County (Florida) [100%],28.3681,-82.5583,exact,,Florida,Americas,G100000200408,https://www.gem.wiki/Pasco_County_Solid_Waste_Resource_Recovery_power_station
Brazil,Passa Tempo power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Passa Tempo,30.0,operating,2001,,,Biosev,Biosev SA [100%],-21.6962,-54.5573,exact,Rio Brilhante,Mato Grosso do Sul,Americas,G100000200629,https://www.gem.wiki/Passa_Tempo_power_station
