country/area,name-(english),name-(other-language),design-capacity-(ttpa),status,owner,parent,coordinates,coordinate-accuracy,subnational-unit,region,url,total-reserves-(proven-and-probable,total-resource-(inferred,production-2023-(ttpa),production-2022-(ttpa),start-date,lat,lng,scaling_cap
India,OMC Khandbandh Mine,,"1,000",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.947416, 85.407554",exact,Odisha,Oceania,https://gem.wiki/OMC_Khandbandh_Mine,"21,032",unknown,601,0,1963,21.947416,85.407554,1000
India,OMC Kurmitar Mine,,"7,400",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.754390, 85.159880",exact,Odisha,Oceania,https://gem.wiki/OMC_Kurmitar_Mine,"170,900",unknown,4011,4203,1965-04-29 00:00:00,21.75439,85.15988,7400
India,OMC Maha Parvat Mine,,"1,000",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.884981, 85.424931",exact,Odisha,Oceania,https://gem.wiki/OMC_Maha_Parvat_Mine,"7,652","10,560",995.6,0,unknown,21.884981,85.424931,1000
India,OMC Roida C Mine,,460,operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"22.041895, 85.399798",exact,Odisha,Oceania,https://gem.wiki/OMC_Roida_C_Mine,"4,244",unknown,145,430,1996-04-10 00:00:00,22.041895,85.399798,460
India,OMC Tiringpahar Mine,,330,operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.966394, 85.386286",exact,Odisha,Oceania,https://gem.wiki/OMC_Tiringpahar_Mine,"21,340","36,669",328,328,2020,21.966394,85.386286,330
India,OMDC Bhadrasahi Mine,,"1,800",operating,Orissa Minerals Development Company Ltd [100.0%],Orissa Minerals Development Company Ltd [100.0%],"21.989072, 85.392756",exact,Odisha,Oceania,https://gem.wiki/OMDC_Bhadrasahi_Mine,"70,379","81,217",unknown,unknown,1941-11-08 00:00:00,21.989072,85.392756,1800
India,Patnaik Minerals Mahulsukha Mine,,60,operating,Patnaik Minerals Pvt Ltd [100.0%],Patnaik Minerals Pvt Ltd [100.0%],"21.792453, 85.148819",exact,Odisha,Oceania,https://gem.wiki/Patnaik_Minerals_Mahulsukha_Mine,"6,031","32,814",0,0,1945,21.792453,85.148819,60
India,PB Setty Karadikolla Suresh Mine,,898,operating,P Balasubbashetty & Sons [100.0%],--,"15.226616, 76.432359",exact,Karnataka,Oceania,https://gem.wiki/PB_Setty_Karadikolla_Suresh_Mine,"13,460",unknown,unknown,898,1953-09-05 00:00:00,15.226616,76.432359,898
India,Prakash Industries Eklama Mine,,"1,200",proposed,Prakash Industries Ltd [100.0%],Prakash Industries Ltd [100.0%],"21.898679, 81.068596",exact,Chhattisgarh,Oceania,https://gem.wiki/Prakash_Industries_Eklama_Mine,"10,990","21,790",,,unknown,21.898679,81.068596,1200
India,Prakash Industries Sirkagutu Mine,,"1,000",operating,Prakash Industries Ltd [100.0%],Prakash Industries Ltd [100.0%],"21.794576, 85.327646",exact,Odisha,Oceania,https://gem.wiki/Prakash_Industries_Sirkagutu_Mine,"4,365",unknown,unknown,unknown,2020-02-12 00:00:00,21.794576,85.327646,1000
India,Prateek Minerals Narda Mine,,42,operating,Prateek Minerals [100.0%],--,"27.732337, 75.941181",approximate,Rajasthan,Oceania,https://gem.wiki/Prateek_Minerals_Narda_Mine,934,unknown,42,41.5,1977-09-06 00:00:00,27.732337,75.941181,42.5
India,PTAL Raikela & Tantra Mine,,"1,080",operating,Penguin Trading & Agencies Ltd [100.0%],Penguin Trading & Agencies Ltd [100.0%],"21.878309, 85.181972",exact,Odisha,Oceania,https://gem.wiki/PTAL_Raikela_&_Tantra_Mine,"19,940","22,160",unknown,unknown,1987-07-27 00:00:00,21.878309,85.181972,1080
India,PTG Sailetembo Suctolim Mine,,300,operating,Pandurang Timblo Industries [100.0%],--,"15.361515, 74.166643",exact,Goa,Oceania,https://gem.wiki/PTG_Sailetembo_Suctolim_Mine,unknown,unknown,unknown,unknown,unknown,15.361515,74.166643,300
India,PTI Bondra Mine,,500,operating,Pandurang Timblo Industries [100.0%],--,"15.362383, 74.155652",exact,Goa,Oceania,https://gem.wiki/PTI_Bondra_Mine,"9,277",unknown,unknown,unknown,1953-07-03 00:00:00,15.362383,74.155652,500
India,PVS Pathikonda Mine,,98,operating,P Venganna Setty & Bros [100.0%],MSPL Ltd [90.0%]; natural person(s) [10.0%],"15.215409, 76.440483",exact,Karnataka,Oceania,https://gem.wiki/PVS_Pathikonda_Mine,"1,860",unknown,0,0,unknown,15.215409,76.440483,98
India,R Praveen Chandra John Mine,,"1,400",operating,Prakash Sponge Iron and Power Pvt Ltd [100.0%],--,"14.230106, 76.202839",exact,Karnataka,Oceania,https://gem.wiki/R_Praveen_Chandra_John_Mine,"37,365",unknown,1399,1328,1977-02-04 00:00:00,14.230106,76.202839,1400
India,RBSSN Sankalapuram Mine,,243,operating,Rai Bahadur Seth Shreeram Narsingdas Pvt Ltd [100.0%],--,"15.235106, 76.421994",exact,Karnataka,Oceania,https://gem.wiki/RBSSN_Sankalapuram_Mine,"20,302",unknown,243,238,1986-06-23 00:00:00,15.235106,76.421994,243
India,RJM Baraiburu-Tatiba Mine,,"2,260",mothballed,Rameshwara Jute Mills Ltd [100.0%],small shareholder(s) [66.3%]; natural person(s) [19.2%]; Padmavati Investment Pvt Ltd [14.6%],"22.176897, 85.348559",exact,Jharkhand,Oceania,https://gem.wiki/RJM_Baraiburu-Tatiba_Mine,"30,279","33,688",,,1966-12-08 00:00:00,22.176897,85.348559,2260
India,RMML Iyli Gurunathappa Mine,,630,operating,Ramgad Minerals and Mining Ltd [100.0%],Ramgad Minerals and Mining Ltd [100.0%],"15.159246, 76.442566",exact,Karnataka,Oceania,https://gem.wiki/RMML_Iyli_Gurunathappa_Mine,"18,513","19,862",510.83,489.27,2006-02-24 00:00:00,15.159246,76.442566,630
India,RMML Jaisingpur Mine,,unknown,operating,Ramgad Minerals and Mining Ltd [100.0%],Ramgad Minerals and Mining Ltd [100.0%],"15.199819, 76.465476",exact,Karnataka,Oceania,https://gem.wiki/RMML_Jaisingpur_Mine,"41,790","45,780",unknown,unknown,1958,15.199819,76.465476,unknown
India,RMML Sachidananda Mine,,500,operating,Ramgad Minerals and Mining Ltd [100.0%],Ramgad Minerals and Mining Ltd [100.0%],"15.180778, 76.425725",exact,Karnataka,Oceania,https://gem.wiki/RMML_Sachidananda_Mine,unknown,"2,137",unknown,unknown,unknown,15.180778,76.425725,500
India,Rungta Mines Ghatkuri Mine,,"7,552",operating,Rungta Mines Ltd [100.0%],Rungta Mines Ltd [100.0%],"22.241509, 85.382459",exact,Jharkhand,Oceania,https://gem.wiki/Rungta_Mines_Ghatkuri_Mine,"79,075",unknown,unknown,unknown,1953-10-10 00:00:00,22.241509,85.382459,7552
India,Rungta Mines Jumka Pathiriposhi Pahar Mine,,"3,350",proposed,Rungta Mines Ltd [100.0%],Rungta Mines Ltd [100.0%],"21.803462, 85.217849",approximate,Odisha,Oceania,https://gem.wiki/Rungta_Mines_Jumka_Pathiriposhi_Pahar_Mine,"140,278","155,864",,,unknown,21.803462,85.217849,3350
