gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url,capacity_mt_display
T1213,T01386,Tarahan Port,Indonesia,Tarahan Coal Port Coal Terminal,,20,proposed,,,Exact,PT Bukit Asam Tbk,-5.515794453,105.3439895,Sumatra,Asia,https://www.gem.wiki/Tarahan_Coal_Port,20
T1220,T01220,,Indonesia,Tarakan Coal Anchorage Coal Terminal,,9.7,operating,,,Approximate,,3.297574504,117.7370085,North Kalimantan,Asia,https://www.gem.wiki/Tarakan_Coal_Anchorage,9.7
T1023,T01023,,Indonesia,Teluk Bayur Coal Terminal,,2.5,mothballed,,,Exact,PT Bukit Asam Tbk,-0.995522,100.379097,Sumatra,Asia,https://www.gem.wiki/Teluk_Bayur_coal_terminal,2.5
T2049,T11358,,Indonesia,Tuban Coal Terminal,,2,operating,,,Exact,,-6.433908,110.7303,Java,Asia,https://www.gem.wiki/Tuban_coal_terminal,2
T1189,T01189,,Indonesia,Wahana Jetty Coal Terminal,,1.6,operating,,,Exact,PT Bayan Resources Tbk,-3.837405376,115.4219369,South Kalimantan,Asia,https://www.gem.wiki/Wahana_Jetty,1.6
T1206,T01206,,Indonesia,West Mulia Coal Terminal,,12,operating,,,Exact,PT Mitratama Perkasa,-3.876048929,115.3366244,South Kalimantan,Asia,https://www.gem.wiki/West_Mulia_coal_terminal,12
T1360,T01360,Kushiro Port,Japan,Kushiro Coal Terminal,,*,operating,,,Exact,,42.995919,144.354292,Hokkaido,Asia,https://www.gem.wiki/Kushiro_Coal_Terminal,
T1228,T01228,Nagoya Port,Japan,Nagoya Port Coal Terminal,,218,operating,,,Exact,Nagoya Port Authority,35.08,136.88,Aichi,Asia,https://www.gem.wiki/Nagoya_Port,218
T1227,T01227,Onahama Port,Japan,Onahama Port Coal Terminal,,*,operating,,,Exact,Fukushima Prefecture,36.9360348,140.8776855,Fukushima,Asia,https://www.gem.wiki/Onahama_Port,
T1226,T01226,Port of Tokyo,Japan,Port of Tokyo Coal Terminal,,13,operating,1925,,Exact,Tokyo Metropolitan Government ,35.616944,139.795556,Tokyo,Asia,https://www.gem.wiki/Port_of_Tokyo,13
T1231,T01231,Sendai Shiogama Port,Japan,Sendai Shiogama Port Coal Terminal,,*,operating,1971,,Exact,Miyagi Prefecture,38.273393,141.007822,Miyagi Prefecture,Asia,https://www.gem.wiki/Sendai_Shiogama_Port,
T1230,T01230,Soma Port,Japan,Soma Port Coal Terminal,,*,operating,1960,,Exact,Fukushima Prefecture,37.85577772,140.9533637,Fukushima,Asia,https://www.gem.wiki/Soma_Port,
T1229,T01229,TokuyamaKudamatsu,Japan,Tokuyama-Kudamatsu Port Coal Terminal,,3,operating,1922,,Exact,Kudamatsu Port Authority,34.016667,131.866667,Yamaguchi,Asia,https://www.gem.wiki/Tokuyama-Kudamatsu_Port,3
T1232,T01232,Ube Port,Japan,Ube Port Coal Terminal,,*,operating,,,Exact,Ube Port Administration,33.93673561,131.2209901,Yamaguchi,Asia,https://www.gem.wiki/Ube_Port,
T1233,T01233,Lamu Port,Kenya,Lamu Port Coal Terminal,,23.9,operating,2021,,Exact,Kenya Ports Authority,-2.1902089,40.9604645,Lamu,Africa,https://www.gem.wiki/Lamu_Port,23.9
T1026,T01234,Ventspils Port,Latvia,Baltic Coal Terminal,BCT,6,operating,2008,,Exact,Baltic Coal Terminal JSC,57.398688,21.561184,Ventspils,Europe,https://www.gem.wiki/Baltic_Coal_Terminal,6
T1026,T01026,Ventspils Port,Latvia,Baltic Coal Terminal,BCT,4.5,proposed,,,Exact,Baltic Coal Terminal JSC,57.398688,21.561184,Ventspils,Europe,https://www.gem.wiki/Baltic_Coal_Terminal,4.5
T1237,T01237,Port of Liepaja,Latvia,Port of Liepaja Coal Terminal,,1.5,operating,,,Exact,LSEZ Ekers Stividors LLC,56.528056,20.996667,Liepāja,Europe,https://www.gem.wiki/Port_of_Liepaja,1.5
T1236,T01236,Riga Free Port,Latvia,Riga Coal Terminal,Krievu Island Terminal,8,operating,2019,,Exact,Riga Coal Terminal LLC,57.0503012,24.0367985,Riga,Europe,https://www.gem.wiki/Riga_Free_Port,8
T1416,T01416,Riga Free Port,Latvia,Riga Container Terminal Coal Port,,*,retired,,,Exact,Riga Commercial Port JSC ,57.0503012,24.0367985,Riga,Europe,https://www.gem.wiki/Riga_Free_Port,
T1235,T01235,Riga Free Port,Latvia,Strek Terminal,Krievu Island Terminal,5,operating,2019,,Exact,Strek LLC,56.957118,24.1039985,Riga,Europe,https://www.gem.wiki/Riga_Free_Port,5
T1361,T01361,Port of Lumut,Malaysia,Lumut Maritime Terminal,,16.5,operating,,,Exact,PT Tanah Laut,4.253389,100.659389,Kampung Acheh,Europe,https://www.gem.wiki/Lumut_Maritime_Terminal,16.5
T2032,T01362,Port of Louis,Mauritius,Port of Louis Coal Terminal,,2,operating,,,Exact,Mauritius Ports Authority,-20.146371,57.488172,,Africa,https://www.gem.wiki/Port_of_Louis_Coal_Terminal,2
T1238,T01238,Port of Guaymas,Mexico,Port of Guaymas Coal Terminal,Puerto de Guaymas,30,operating,2018,,Exact,MEXPORT Coal & Minerals Terminal,27.92239705,-110.8719135,Sonora,Americas,https://www.gem.wiki/Port_of_Guaymas,30
T1239,T01239,Port of Lázaro Cárdenas,Mexico,Port of Lázaro Cárdenas Coal Terminal,Puerto de Lázaro Cárdenas,5.4,operating,,,Exact,,17.940522,-102.157881,Michoacán,Americas,https://www.gem.wiki/Port_of_L%C3%A1zaro_C%C3%A1rdenas,5.4
T1364,T01364,Port of Agadir,Morocco,Agadir Coal Terminal,,*,operating,,,Exact,Masa Maroc Group,30.428214,-9.647716,Agadir-Ida Ou Tanane,Africa,https://www.gem.wiki/Agadir_Coal_Terminal,
T1363,T01363,Port of Casablanca,Morocco,Port of Casablanca Minerals Coal Terminal,,*,operating,,,Exact,Masa Maroc Group,33.60625,-7.610167,,Africa,https://www.gem.wiki/Port_of_Casablanca_Minerals_Coal_Terminal,
T1242,T01242,Beira Port,Mozambique,Beira Coal Terminal,,6,operating,,,Exact,"CFM, Vale, Rio Tinto",-19.815875,34.836566,Sofala,Africa,https://www.gem.wiki/Beira_coal_terminal,6
