gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url
T1414,T01414,Haji Bunder Port,India,Haji Bunder Port Coal Terminal,,1.8,Retired,-,-,Exact,Mumbai Port Trust (MbPT),19.59,73.41,Maharashtra,Asia,https://www.gem.wiki/Haji_Bunder_Port
T1384,T01384,Haldia Port,India,Haldia Port APSEZ Coal Terminal,,3.7,Proposed,-,-,Exact,Adani Group,22.037654,88.091404,West Bengal,Asia,https://www.gem.wiki/Haldia_Port
T1181,T01181,Haldia Port,India,Haldia Port Coal Terminal,,20,Operating,-,-,Exact,Government of India,22.037654,88.091404,West Bengal,Asia,https://www.gem.wiki/Haldia_Port
T1175,T01175,Hazira Port (Essar),India,Hazira Port (Essar) Coal Terminal,,50,Operating,-,-,Exact,Essar Group (74%); AM/NS (26%),21.09226154,72.65725305,Gujarat,Asia,https://www.gem.wiki/Hazira_Port_(Essar)
T1059,T01059,Jaigarh Port,India,Jaigarh Port Coal Terminal,Phase I,5,Operating,2021,-,Exact,JSW Group,17.303945,73.208429,Maharashtra,Asia,https://www.gem.wiki/Jaigarh_Port
T1059,T01184,Jaigarh Port,India,Jaigarh Port Coal Terminal,,55,Operating,-,-,Exact,JSW Group,17.303945,73.208429,Maharashtra,Asia,https://www.gem.wiki/Jaigarh_Port
T1059,T11402,Jaigarh Port,India,Jaigarh Port Coal Terminal,Phase II,20,Proposed,2027,-,Exact,JSW Group,17.303945,73.208429,Maharashtra,Asia,https://www.gem.wiki/Jaigarh_Port
T1171,T01171,JSW Dharamtar Port,India,JSW Dharamtar Port Coal Terminal,,8,Operating,2012,-,Exact,JSW Group,18.704952,73.027153,Maharashtra,Asia,https://www.gem.wiki/JSW_Dharamtar_Port
T1171,T11171,JSW Dharamtar Port,India,JSW Dharamtar Port Coal Terminal,,26,Proposed,2021,-,Exact,JSW Group,18.704952,73.027153,Maharashtra,Asia,https://www.gem.wiki/JSW_Dharamtar_Port
T1171,T11172,JSW Dharamtar Port,India,JSW Dharamtar Port Coal Terminal,,21,Proposed,-,-,Exact,JSW Group,18.704952,73.027153,Maharashtra,Asia,https://www.gem.wiki/JSW_Dharamtar_Port
T1056,T01056,Paradip Port,India,Kakinada Coal Terminal,,10,Construction,2025,-,Exact,Kakinada Seaport,20.27823956,86.6767484,Odisha,Asia,https://www.gem.wiki/Paradip_Port
T1160,T01160,Kakinada Port,India,Kakinada Port Coal Terminal,,14,Operating,-,-,Exact,"Kakinada Seaports, Bothra Group",16.971284,82.281686,Andhra Pradesh,Asia,https://www.gem.wiki/Kakinada_Port
T1055,T01055,Kamarajar Port,India,Kamarajar Port Berths 3 & 4,Ennore Port,18,Construction,-,-,Exact,TANGEDCO,13.258618,80.340732,Tamil Nadu,Asia,https://www.gem.wiki/Kamarajar_Port
T1157,T01157,Kamarajar Port,India,Kamarajar Port Coal Terminal,Ennore Port,26,Operating,-,-,Exact,TANGEDCO,13.258618,80.340732,Tamil Nadu,Asia,https://www.gem.wiki/Kamarajar_Port
T1377,T01377,Kamarajar Port,India,Kamarajar Port Iron to Coal Terminal,Ennore Port,6,Proposed,-,-,Exact,Kamarajar Port,13.258618,80.340732,Tamil Nadu,Asia,https://www.gem.wiki/Kamarajar_Port
T1182,T01182,Karaikal Port,India,Karaikal Port Coal Terminal,,20,Operating,-,-,Exact,-,10.84241,79.843483,Puducherry,Asia,https://www.gem.wiki/Karaikal_Port
T1156,T01156,Kattupalli Port,India,Kattupalli Port Coal Terminal,,18,Operating,-,-,Exact,Adani Group,13.31458876,80.34693934,Tamil Nadu,Asia,https://www.gem.wiki/Kattupalli_Port
T1156,T01378,Kattupalli Port,India,Kattupalli Port Coal Terminal, ,71,Proposed,-,-,Exact,Adani Group,13.31458876,80.34693934,Tamil Nadu,Asia,https://www.gem.wiki/Kattupalli_Port
T1179,T01179,-,India,Kolkata Dock System Coal Terminal,,3,Operating,-,-,Exact,Kolkata Port Trust,22.53257719,88.31109958,West Bengal,Asia,https://www.gem.wiki/Kolkata_Dock_System
T1170,T01170,Krishnapatnam Port,India,Krishnapatnam Port Coal Terminal,,64,Operating,-,-,Exact,Adani Group,14.251926,80.125759,Andhra Pradesh,Asia,https://www.gem.wiki/Krishnapatnam_Port
T1170,T01380,Krishnapatnam Port,India,Krishnapatnam Port Coal Terminal,2025 Expansion,36,Proposed,2025,-,Exact,Adani Group,14.251926,80.125759,Andhra Pradesh,Asia,https://www.gem.wiki/Krishnapatnam_Port
T1170,T01381,Krishnapatnam Port,India,Krishnapatnam Port Coal Terminal,Phase 2,200,Proposed,-,-,Exact,Adani Group,14.251926,80.125759,Andhra Pradesh,Asia,https://www.gem.wiki/Krishnapatnam_Port
